etat,matiere,couleur,categorie,likes,prix,prix_total,collection,prix_moyen_zara,decote
neuf sans étiquette,fibres naturelles végétales,blanc/beige,hauts et t-shirts,41.0,3.0,3.85,femme,23.325,0.8713826366559485
très bon état,fibres naturelles végétales,blanc/beige,hauts et t-shirts,49.0,4.0,4.63,femme,23.325,0.8285101822079314
neuf sans étiquette,fibres naturelles végétales,blanc/beige,pantalons et leggings,24.0,10.0,10.95,femme,35.7,0.7198879551820728
neuf sans étiquette,fibres synthétiques,noir/gris,pantalons et leggings,11.0,15.0,16.38,femme,35.7,0.5798319327731093
très bon état,fibres naturelles végétales,blanc/beige,hauts et t-shirts,18.0,6.0,6.61,femme,23.325,0.7427652733118971
très bon état,fibres synthétiques,noir/gris,blazers et tailleurs,79.0,15.0,16.4,femme,30.435161290322597,0.5071489893904548
très bon état,fibres naturelles végétales,blanc/beige,vêtements de sport,21.0,11.0,12.12,femme,30.435161290322597,0.6385759255530002
très bon état,fibres naturelles végétales,blanc/beige,hauts et t-shirts,11.0,4.0,4.63,femme,23.325,0.8285101822079314
neuf sans étiquette,autres,blanc/beige,costumes et tenues particulières,20.0,15.0,16.45,femme,30.435161290322597,0.5071489893904548
très bon état,autres,blanc/beige,hauts et t-shirts,42.0,4.0,4.63,femme,23.325,0.8285101822079314
très bon état,fibres synthétiques,motif/multicolore,hauts et t-shirts,37.0,3.0,3.85,femme,21.616666666666664,0.8612181958365459
très bon état,fibres synthétiques,blanc/beige,jupes-shorts,56.0,10.0,11.05,femme,30.435161290322597,0.6714326595936366
très bon état,fibres naturelles végétales,motif/multicolore,hauts et t-shirts,17.0,6.0,7.0,femme,21.616666666666664,0.7224363916730917
très bon état,fibres naturelles végétales,blanc/beige,hauts et t-shirts,10.0,5.0,5.53,femme,23.325,0.7856377277599143
neuf sans étiquette,autres,bleu,blazers et tailleurs,90.0,40.0,43.5,femme,30.435161290322597,-0.3142693616254537
très bon état,autres,jaune/orange,combinaisons et combishorts,8.0,12.0,13.3,femme,35.95,0.6662030598052852
neuf avec étiquette,autres,blanc/beige,hauts et t-shirts,78.0,9.2,10.19,femme,23.325,0.6055734190782422
très bon état,fibres naturelles végétales,bleu,hauts et t-shirts,7.0,5.0,5.53,femme,26.45,0.8109640831758034
très bon état,fibres synthétiques,noir/gris,jupes,38.0,5.0,5.7,femme,29.95,0.8330550918196995
neuf sans étiquette,fibres naturelles végétales,blanc/beige,manteaux et vestes,12.0,10.0,11.05,femme,59.95,0.8331943286071727
très bon état,fibres synthétiques,bleu,pantalons et leggings,25.0,6.0,7.0,femme,29.95,0.7996661101836394
neuf avec étiquette,fibres synthétiques,marron,accessoires,22.0,5.0,5.7,femme,17.95,0.7214484679665738
très bon état,fibres synthétiques,blanc/beige,pantalons et leggings,47.0,10.0,10.95,femme,35.7,0.7198879551820728
très bon état,fibres naturelles végétales,blanc/beige,hauts et t-shirts,43.0,6.0,7.0,femme,23.325,0.7427652733118971
bon état,fibres naturelles végétales,noir/gris,blazers et tailleurs,9.0,5.0,5.7,femme,30.435161290322597,0.8357163297968183
très bon état,fibres naturelles végétales,motif/multicolore,sweats et sweats à capuche,35.0,4.0,4.9,femme,30.435161290322597,0.8685730638374547
neuf sans étiquette,fibres naturelles végétales,blanc/beige,hauts et t-shirts,18.0,10.0,11.2,femme,23.325,0.5712754555198285
neuf avec étiquette,fibres naturelles végétales,motif/multicolore,accessoires,45.0,6.0,7.0,femme,21.95,0.7266514806378133
très bon état,fibres synthétiques,motif/multicolore,pantalons et leggings,11.0,6.0,6.61,femme,39.95,0.8498122653316647
neuf sans étiquette,fibres artificielles,bleu,blazers et tailleurs,12.0,15.0,16.45,femme,30.435161290322597,0.5071489893904548
très bon état,fibres naturelles végétales,bleu,jeans,25.0,8.0,8.91,femme,35.95,0.7774687065368567
très bon état,autres,noir/gris,hauts et t-shirts,18.0,5.0,5.7,femme,19.95,0.7493734335839599
très bon état,fibres artificielles,vert,hauts et t-shirts,33.0,4.0,4.44,femme,23.325,0.8285101822079314
très bon état,fibres artificielles,noir/gris,hauts et t-shirts,25.0,8.0,9.1,femme,19.95,0.5989974937343359
neuf sans étiquette,autres,motif/multicolore,sweats et sweats à capuche,17.0,12.0,13.19,femme,30.435161290322597,0.6057191915123639
très bon état,fibres synthétiques,bleu,sweats et sweats à capuche,6.0,3.0,3.56,femme,30.435161290322597,0.901429797878091
neuf sans étiquette,fibres synthétiques,blanc/beige,jupes,7.0,5.0,5.95,femme,29.95,0.8330550918196995
neuf sans étiquette,autres,marron,chaussures,48.0,15.0,16.4,femme,37.95,0.6047430830039526
très bon état,fibres naturelles végétales,motif/multicolore,pantalons et leggings,217.0,10.0,11.2,femme,39.95,0.7496871088861077
très bon état,autres,blanc/beige,robes,74.0,15.0,16.45,femme,30.46,0.5075508864084044
très bon état,fibres synthétiques,motif/multicolore,sweats et sweats à capuche,8.0,9.0,10.15,femme,30.435161290322597,0.7042893936342729
neuf sans étiquette,autres,blanc/beige,accessoires,32.0,7.0,8.05,femme,25.95,0.7302504816955684
très bon état,fibres naturelles végétales,bleu,jeans,16.0,3.0,3.85,femme,35.95,0.9165507649513213
très bon état,fibres synthétiques,noir/gris,hauts et t-shirts,7.0,5.0,5.95,femme,19.95,0.7493734335839599
neuf sans étiquette,autres,motif/multicolore,accessoires,33.0,7.0,7.84,femme,21.95,0.6810933940774487
neuf sans étiquette,fibres artificielles,noir/gris,hauts et t-shirts,19.0,3.0,3.85,femme,19.95,0.849624060150376
très bon état,fibres naturelles végétales,blanc/beige,hauts et t-shirts,5.0,5.0,5.7,femme,23.325,0.7856377277599143
très bon état,fibres naturelles végétales,noir/gris,autres,54.0,12.0,13.19,femme,19.95,0.3984962406015038
très bon état,fibres naturelles végétales,blanc/beige,jeans,9.0,16.0,17.46,femme,35.95,0.5549374130737135
neuf sans étiquette,fibres naturelles végétales,motif/multicolore,hauts et t-shirts,25.0,5.0,5.95,femme,21.616666666666664,0.7686969930609098
neuf sans étiquette,autres,noir/gris,shorts,9.0,3.0,3.85,femme,26.28333333333333,0.885859226379201
neuf sans étiquette,fibres naturelles végétales,blanc/beige,hauts et t-shirts,11.0,4.0,4.9,femme,23.325,0.8285101822079314
très bon état,fibres naturelles végétales,bleu,robes,24.0,15.0,16.38,femme,30.46,0.5075508864084044
très bon état,fibres naturelles végétales,noir/gris,sweats et sweats à capuche,8.0,5.0,5.95,femme,30.435161290322597,0.8357163297968183
bon état,fibres naturelles végétales,vert,vêtements de sport,11.0,4.0,4.9,femme,30.435161290322597,0.8685730638374547
très bon état,fibres synthétiques,noir/gris,blazers et tailleurs,8.0,10.0,11.2,femme,30.435161290322597,0.6714326595936366
neuf sans étiquette,fibres synthétiques,vert,blazers et tailleurs,25.0,8.0,9.1,femme,30.435161290322597,0.7371461276749093
très bon état,autres,blanc/beige,hauts et t-shirts,24.0,5.0,5.95,femme,23.325,0.7856377277599143
très bon état,autres,vert,hauts et t-shirts,19.0,5.0,5.95,femme,23.325,0.7856377277599143
très bon état,fibres naturelles végétales,noir/gris,sweats et sweats à capuche,8.0,6.0,7.0,femme,30.435161290322597,0.8028595957561819
très bon état,fibres synthétiques,motif/multicolore,accessoires,17.0,7.0,8.05,femme,21.95,0.6810933940774487
très bon état,autres,blanc/beige,chaussures,106.0,30.0,32.2,femme,36.28333333333334,0.1731740927882408
très bon état,fibres naturelles végétales,motif/multicolore,jeans,15.0,7.0,7.84,femme,35.95,0.8052851182197497
très bon état,fibres synthétiques,vert,hauts et t-shirts,38.0,5.0,5.95,femme,23.325,0.7856377277599143
très bon état,fibres synthétiques,noir/gris,hauts et t-shirts,37.0,5.0,5.53,femme,19.95,0.7493734335839599
bon état,fibres synthétiques,blanc/beige,manteaux et vestes,41.0,10.0,11.2,femme,59.95,0.8331943286071727
très bon état,fibres synthétiques,motif/multicolore,blazers et tailleurs,17.0,20.0,21.7,femme,30.435161290322597,0.34286531918727314
très bon état,fibres naturelles végétales,bleu,shorts,15.0,7.0,8.05,femme,29.95,0.7662771285475793
très bon état,fibres naturelles végétales,bleu,jeans,15.0,5.0,5.95,femme,35.95,0.8609179415855355
très bon état,fibres artificielles,bleu,hauts et t-shirts,16.0,5.0,5.95,femme,26.45,0.8109640831758034
très bon état,fibres naturelles végétales,noir/gris,pantalons et leggings,32.0,5.0,5.95,femme,35.7,0.8599439775910365
neuf sans étiquette,autres,noir/gris,combinaisons et combishorts,21.0,7.0,7.7,femme,35.95,0.8052851182197497
bon état,fibres naturelles végétales,blanc/beige,hauts et t-shirts,13.0,3.0,3.56,femme,23.325,0.8713826366559485
très bon état,fibres naturelles végétales,motif/multicolore,manteaux et vestes,16.0,8.0,8.91,femme,46.28333333333334,0.8271516024486857
neuf sans étiquette,fibres naturelles végétales,motif/multicolore,robes,21.0,10.0,11.2,femme,29.95,0.666110183639399
neuf sans étiquette,autres,motif/multicolore,hauts et t-shirts,10.0,15.0,16.38,femme,21.616666666666664,0.3060909791827293
très bon état,fibres synthétiques,rose/violet,hauts et t-shirts,6.0,3.0,3.85,femme,25.95,0.8843930635838151
très bon état,fibres naturelles végétales,motif/multicolore,jeans,10.0,6.0,6.77,femme,35.95,0.8331015299026425
très bon état,fibres naturelles végétales,bleu,jeans,8.0,6.0,7.0,femme,35.95,0.8331015299026425
très bon état,fibres synthétiques,noir/gris,blazers et tailleurs,12.0,10.0,11.2,femme,30.435161290322597,0.6714326595936366
très bon état,fibres naturelles végétales,motif/multicolore,jeans,24.0,6.0,7.0,femme,35.95,0.8331015299026425
très bon état,fibres naturelles végétales,bleu,jeans,5.0,12.0,13.3,femme,35.95,0.6662030598052852
très bon état,fibres naturelles végétales,blanc/beige,jeans,8.0,4.0,4.44,femme,35.95,0.8887343532684284
très bon état,fibres naturelles végétales,noir/gris,jeans,12.0,10.0,11.05,femme,35.95,0.721835883171071
très bon état,fibres naturelles végétales,bleu,jeans,12.0,5.0,5.95,femme,35.95,0.8609179415855355
neuf sans étiquette,autres,bleu,hauts et t-shirts,27.0,10.0,11.2,femme,26.45,0.6219281663516067
neuf avec étiquette,fibres naturelles végétales,blanc/beige,shorts,19.0,6.5,7.53,femme,26.28333333333333,0.7526949904882688
très bon état,fibres naturelles végétales,rouge,hauts et t-shirts,32.0,3.0,3.85,femme,23.325,0.8713826366559485
très bon état,fibres naturelles végétales,rouge,robes,9.0,9.0,9.98,femme,30.46,0.7045305318450427
neuf avec étiquette,autres,bleu,hauts et t-shirts,68.0,16.0,17.5,femme,26.45,0.3950850661625709
neuf sans étiquette,cuir,motif/multicolore,chaussures,44.0,20.0,21.8,femme,35.95,0.4436717663421419
très bon état,fibres synthétiques,bleu,pantalons et leggings,11.0,7.0,8.05,femme,29.95,0.7662771285475793
neuf sans étiquette,fibres naturelles végétales,marron,sweats et sweats à capuche,34.0,15.0,16.4,femme,30.435161290322597,0.5071489893904548
très bon état,fibres naturelles végétales,noir/gris,hauts et t-shirts,17.0,3.0,3.85,femme,19.95,0.849624060150376
très bon état,fibres naturelles végétales,blanc/beige,pantalons et leggings,27.0,10.0,10.95,femme,35.7,0.7198879551820728
neuf sans étiquette,autres,motif/multicolore,pantalons et leggings,39.0,5.0,5.53,femme,39.95,0.8748435544430538
neuf sans étiquette,fibres naturelles végétales,blanc/beige,hauts et t-shirts,45.0,3.0,3.36,homme,36.09285714285714,0.9168810607559865
neuf sans étiquette,fibres synthétiques,motif/multicolore,pantalons et leggings,2.0,3.0,3.36,homme,49.95,0.93993993993994
neuf avec étiquette,fibres artificielles,vert,maillots de bain,7.0,10.0,11.2,homme,49.36521739130434,0.7974282191298221
bon état,fibres naturelles végétales,blanc/beige,hauts et t-shirts,13.0,3.0,3.85,homme,36.09285714285714,0.9168810607559865
très bon état,fibres naturelles végétales,rose/violet,hauts et t-shirts,3.0,8.0,8.78,homme,36.050000000000004,0.7780859916782247
très bon état,fibres naturelles végétales,bleu,jeans,28.0,8.0,8.78,homme,49.95,0.8398398398398399
neuf sans étiquette,fibres synthétiques,noir/gris,pantalons et leggings,12.0,15.0,16.45,homme,54.95,0.727024567788899
très bon état,fibres naturelles végétales,blanc/beige,vêtements de sport,26.0,11.0,12.04,homme,49.36521739130434,0.7771710410428043
neuf sans étiquette,fibres naturelles végétales,blanc/beige,pantalons et leggings,34.0,10.0,10.95,homme,57.45,0.8259355961705831
neuf sans étiquette,autres,motif/multicolore,sweats et sweats à capuche,13.0,10.0,11.2,homme,35.95,0.721835883171071
très bon état,fibres synthétiques,blanc/beige,pantalons et leggings,50.0,10.0,11.05,homme,57.45,0.8259355961705831
très bon état,fibres naturelles végétales,blanc/beige,jupes,30.0,8.0,8.91,homme,49.36521739130434,0.8379425753038576
neuf sans étiquette,fibres naturelles végétales,blanc/beige,manteaux et vestes,14.0,10.0,10.95,homme,89.475,0.8882369376920928
neuf sans étiquette,autres,blanc/beige,costumes et tenues particulières,22.0,15.0,16.4,homme,49.36521739130434,0.696142328694733
très bon état,fibres synthétiques,rose/violet,hauts et t-shirts,8.0,3.0,3.56,homme,36.050000000000004,0.9167822468793343
très bon état,fibres synthétiques,bleu,pantalons et leggings,27.0,6.0,7.0,homme,59.95,0.8999165971643036
neuf avec étiquette,fibres naturelles végétales,blanc/beige,shorts,23.0,6.5,7.53,homme,35.95,0.8191933240611962
neuf sans étiquette,autres,bleu,blazers et tailleurs,111.0,40.0,43.15,homme,159.0,0.7484276729559749
neuf avec étiquette,fibres synthétiques,marron,accessoires,24.0,5.0,5.7,homme,59.95,0.9165971643035863
très bon état,fibres synthétiques,vert,pantalons et leggings,7.0,7.0,7.7,homme,55.78333333333334,0.8745144905885868
très bon état,fibres naturelles végétales,motif/multicolore,hauts et t-shirts,18.0,6.0,7.0,homme,40.66428571428571,0.8524503776567715
très bon état,fibres synthétiques,noir/gris,blazers et tailleurs,84.0,15.0,16.45,homme,119.0,0.8739495798319328
très bon état,fibres synthétiques,motif/multicolore,pantalons et leggings,8.0,15.0,16.45,homme,49.95,0.6996996996996997
très bon état,fibres synthétiques,noir/gris,hauts et t-shirts,26.0,15.0,16.4,homme,32.2,0.5341614906832299
très bon état,fibres naturelles végétales,blanc/beige,hauts et t-shirts,14.0,4.0,4.9,homme,36.09285714285714,0.8891747476746488
très bon état,fibres naturelles végétales,blanc/beige,hauts et t-shirts,12.0,5.0,5.95,homme,36.09285714285714,0.8614684345933109
très bon état,fibres synthétiques,noir/gris,jupes,38.0,5.0,5.53,homme,49.36521739130434,0.898714109564911
très bon état,fibres synthétiques,motif/multicolore,sweats et sweats à capuche,8.0,9.0,10.15,homme,35.95,0.7496522948539639
neuf sans étiquette,fibres naturelles végétales,marron,manteaux et vestes,10.0,10.0,11.2,homme,75.77727272727275,0.8680343110791194
très bon état,fibres naturelles végétales,noir/gris,hauts et t-shirts,7.0,8.0,9.1,homme,32.2,0.7515527950310559
très bon état,fibres synthétiques,bleu,sweats et sweats à capuche,6.0,3.0,3.85,homme,35.95,0.9165507649513213
très bon état,fibres naturelles végétales,motif/multicolore,sweats et sweats à capuche,37.0,4.0,4.44,homme,35.95,0.8887343532684284
très bon état,fibres naturelles végétales,bleu,robes,27.0,15.0,16.45,homme,49.36521739130434,0.696142328694733
très bon état,fibres naturelles végétales,blanc/beige,hauts et t-shirts,42.0,6.0,6.61,homme,36.09285714285714,0.833762121511973
neuf sans étiquette,autres,marron,chaussures,49.0,15.0,16.45,homme,77.95,0.8075689544579859
très bon état,fibres synthétiques,noir/gris,hauts et t-shirts,8.0,5.0,5.7,homme,32.2,0.84472049689441
neuf sans étiquette,fibres naturelles végétales,blanc/beige,hauts et t-shirts,20.0,10.0,10.95,homme,36.09285714285714,0.7229368691866218
très bon état,fibres naturelles végétales,noir/gris,pantalons et leggings,33.0,5.0,5.7,homme,54.95,0.9090081892629663
très bon état,fibres naturelles végétales,motif/multicolore,pantalons et leggings,222.0,10.0,11.2,homme,49.95,0.7997997997997999
neuf sans étiquette,fibres naturelles végétales,bleu,combinaisons et combishorts,13.0,10.0,11.2,homme,49.36521739130434,0.7974282191298221
très bon état,fibres naturelles végétales,bleu,jeans,16.0,3.0,3.85,homme,49.95,0.93993993993994
très bon état,fibres naturelles végétales,noir/gris,hauts et t-shirts,123.0,7.0,7.84,homme,32.2,0.782608695652174
très bon état,fibres synthétiques,noir/gris,blazers et tailleurs,8.0,10.0,11.2,homme,119.0,0.9159663865546218
très bon état,fibres naturelles végétales,noir/gris,autres,54.0,12.0,13.3,homme,22.95,0.4771241830065359
très bon état,fibres synthétiques,motif/multicolore,pantalons et leggings,14.0,6.0,6.61,homme,49.95,0.8798798798798799
très bon état,autres,motif/multicolore,pantalons et leggings,62.0,14.0,15.4,homme,49.95,0.7197197197197197
très bon état,fibres synthétiques,vert,hauts et t-shirts,39.0,5.0,5.95,homme,39.95,0.8748435544430538
neuf sans étiquette,fibres artificielles,noir/gris,hauts et t-shirts,20.0,3.0,3.85,homme,32.2,0.906832298136646
bon état,fibres naturelles végétales,noir/gris,blazers et tailleurs,9.0,5.0,5.95,homme,119.0,0.957983193277311
très bon état,fibres naturelles végétales,blanc/beige,hauts et t-shirts,5.0,5.0,5.53,homme,36.09285714285714,0.8614684345933109
neuf sans étiquette,fibres naturelles animales,motif/multicolore,hauts et t-shirts,10.0,5.0,5.95,homme,40.66428571428571,0.8770419813806429
très bon état,fibres synthétiques,noir/gris,hauts et t-shirts,38.0,5.0,5.95,homme,32.2,0.84472049689441
neuf sans étiquette,fibres synthétiques,blanc/beige,jupes,7.0,5.0,5.7,homme,49.36521739130434,0.898714109564911
très bon état,fibres artificielles,vert,hauts et t-shirts,37.0,4.0,4.63,homme,39.95,0.899874843554443
bon état,fibres naturelles végétales,bleu,jeans,9.0,6.0,7.0,homme,49.95,0.8798798798798799
très bon état,autres,vert,hauts et t-shirts,19.0,5.0,5.95,homme,39.95,0.8748435544430538
neuf sans étiquette,fibres artificielles,bleu,blazers et tailleurs,12.0,15.0,16.38,homme,159.0,0.9056603773584906
très bon état,fibres naturelles végétales,blanc/beige,manteaux et vestes,29.0,10.0,11.2,homme,89.475,0.8882369376920928
très bon état,autres,noir/gris,manteaux et vestes,24.0,10.0,11.2,homme,89.95,0.8888271261812117
très bon état,fibres synthétiques,noir/gris,pantalons et leggings,9.0,3.0,3.36,homme,54.95,0.9454049135577798
très bon état,fibres naturelles végétales,blanc/beige,jeans,11.0,16.0,17.46,homme,49.95,0.6796796796796797
très bon état,fibres naturelles végétales,rouge,hauts et t-shirts,33.0,3.0,3.85,homme,29.450000000000003,0.8981324278438031
neuf sans étiquette,fibres naturelles végétales,blanc/beige,hauts et t-shirts,11.0,4.0,4.9,homme,36.09285714285714,0.8891747476746488
très bon état,fibres naturelles végétales,noir/gris,sweats et sweats à capuche,9.0,6.0,7.0,homme,35.95,0.8331015299026425
très bon état,fibres synthétiques,motif/multicolore,blazers et tailleurs,21.0,20.0,21.7,homme,159.0,0.8742138364779874
très bon état,fibres naturelles végétales,noir/gris,sweats et sweats à capuche,9.0,5.0,5.7,homme,35.95,0.8609179415855355
neuf sans étiquette,fibres naturelles végétales,vert,hauts et t-shirts,7.0,2.0,2.8,homme,39.95,0.9499374217772215
très bon état,autres,blanc/beige,chaussures,108.0,30.0,32.65,homme,59.95,0.49958298582151794
neuf sans étiquette,fibres synthétiques,blanc/beige,hauts et t-shirts,9.0,6.0,7.0,homme,36.09285714285714,0.833762121511973
très bon état,autres,noir/gris,hauts et t-shirts,19.0,5.0,5.95,homme,39.95,0.8748435544430538
neuf sans étiquette,fibres synthétiques,motif/multicolore,accessoires,11.0,6.0,6.61,homme,41.45,0.8552472858866104
bon état,fibres naturelles végétales,bleu,manteaux et vestes,33.0,5.0,5.95,homme,72.1,0.9306518723994452
très bon état,fibres naturelles végétales,bleu,jeans,15.0,5.0,5.95,homme,49.95,0.8998998998998999
bon état,fibres synthétiques,marron,manteaux et vestes,22.0,15.0,16.4,homme,75.77727272727275,0.8020514666186792
très bon état,fibres artificielles,bleu,hauts et t-shirts,16.0,5.0,5.95,homme,33.75,0.8518518518518519
très bon état,fibres naturelles végétales,motif/multicolore,jeans,11.0,6.0,6.77,homme,49.95,0.8798798798798799
très bon état,autres,blanc/beige,hauts et t-shirts,24.0,5.0,5.95,homme,39.95,0.8748435544430538
bon état,fibres synthétiques,vert,pantalons et leggings,4.0,7.0,7.84,homme,55.78333333333334,0.8745144905885868
neuf sans étiquette,fibres naturelles végétales,noir/gris,manteaux et vestes,4.0,10.0,11.2,homme,89.95,0.8888271261812117
très bon état,fibres naturelles végétales,motif/multicolore,jeans,24.0,6.0,7.0,homme,49.95,0.8798798798798799
très bon état,fibres naturelles végétales,noir/gris,hauts et t-shirts,17.0,3.0,3.85,homme,32.2,0.906832298136646
neuf sans étiquette,autres,bleu,hauts et t-shirts,29.0,10.0,11.2,homme,39.95,0.7496871088861077
très bon état,fibres synthétiques,noir/gris,blazers et tailleurs,11.0,7.0,8.05,homme,119.0,0.9411764705882353
