etat,matiere,couleur,categorie,likes,prix,prix_total,collection,type_matiere_principal,couleur_generique
neuf sans étiquette,coton,blanc,hauts et t-shirts,41.0,3.0,3.85,femme,fibre naturelle végétale,blanc/beige
très bon état,coton,blanc,hauts et t-shirts,49.0,4.0,4.63,femme,fibre naturelle végétale,blanc/beige
neuf sans étiquette,"coton, polyester",beige,pantalons et leggings,24.0,10.0,10.95,femme,autres,blanc/beige
neuf sans étiquette,"polyester, élasthanne",noir,pantalons et leggings,11.0,15.0,16.38,femme,autres,noir/gris
très bon état,coton,blanc,hauts et t-shirts,18.0,6.0,6.61,femme,fibre naturelle végétale,blanc/beige
très bon état,"polyester, viscose, élasthanne",noir,blazers et tailleurs,79.0,15.0,16.4,femme,autres,noir/gris
très bon état,"coton, polyester",blanc,vêtements de sport,21.0,11.0,12.12,femme,autres,blanc/beige
très bon état,coton,blanc,hauts et t-shirts,11.0,4.0,4.63,femme,fibre naturelle végétale,blanc/beige
neuf sans étiquette,Non précisée,beige,costumes et tenues particulières,20.0,15.0,16.45,femme,autres,blanc/beige
très bon état,Non précisée,blanc,hauts et t-shirts,42.0,4.0,4.63,femme,autres,blanc/beige
très bon état,polyester,"orange, corail",hauts et t-shirts,37.0,3.0,3.85,femme,fibre synthétique,jaune/orange
très bon état,"polyester, viscose",crème,jupes-shorts,56.0,10.0,11.05,femme,autres,blanc/beige
très bon état,coton,"bleu, blanc",hauts et t-shirts,17.0,6.0,7.0,femme,fibre naturelle végétale,bleu
très bon état,"coton, élasthanne",blanc,hauts et t-shirts,10.0,5.0,5.53,femme,autres,blanc/beige
neuf sans étiquette,Non précisée,bleu clair,blazers et tailleurs,90.0,40.0,43.5,femme,autres,bleu
très bon état,Non précisée,moutarde,combinaisons et combishorts,8.0,12.0,13.3,femme,autres,jaune/orange
neuf avec étiquette,Non précisée,blanc,hauts et t-shirts,78.0,9.2,10.19,femme,autres,blanc/beige
très bon état,coton,bleu clair,hauts et t-shirts,7.0,5.0,5.53,femme,fibre naturelle végétale,bleu
très bon état,"polyester, viscose, élasthanne",noir,jupes,38.0,5.0,5.7,femme,autres,noir/gris
neuf sans étiquette,"coton, lin",crème,manteaux et vestes,12.0,10.0,11.05,femme,autres,blanc/beige
très bon état,"polyester, viscose",bleu clair,pantalons et leggings,25.0,6.0,7.0,femme,autres,bleu
neuf avec étiquette,polyester,marron,accessoires,22.0,5.0,5.7,femme,fibre synthétique,marron
très bon état,"polyester, élasthanne",beige,pantalons et leggings,47.0,10.0,10.95,femme,autres,blanc/beige
très bon état,coton,blanc,hauts et t-shirts,43.0,6.0,7.0,femme,fibre naturelle végétale,blanc/beige
bon état,"coton, polyester, laine",noir,blazers et tailleurs,9.0,5.0,5.7,femme,autres,noir/gris
très bon état,coton,"bleu, bleu clair",sweats et sweats à capuche,35.0,4.0,4.9,femme,fibre naturelle végétale,bleu
neuf sans étiquette,"coton, élasthanne",beige,hauts et t-shirts,18.0,10.0,11.2,femme,autres,blanc/beige
neuf avec étiquette,coton,"marine, blanc",accessoires,45.0,6.0,7.0,femme,fibre naturelle végétale,bleu
très bon état,polyester,"rose, bleu clair",pantalons et leggings,11.0,6.0,6.61,femme,fibre synthétique,rose/violet
neuf sans étiquette,"viscose, lin, carton",bleu clair,blazers et tailleurs,12.0,15.0,16.45,femme,autres,bleu
très bon état,coton,bleu,jeans,25.0,8.0,8.91,femme,fibre naturelle végétale,bleu
très bon état,Non précisée,noir,hauts et t-shirts,18.0,5.0,5.7,femme,autres,noir/gris
très bon état,"viscose, élasthanne, acrylique",kaki,hauts et t-shirts,33.0,4.0,4.44,femme,autres,vert
très bon état,"viscose, nylon",noir,hauts et t-shirts,25.0,8.0,9.1,femme,autres,noir/gris
neuf sans étiquette,Non précisée,"rose, lila",sweats et sweats à capuche,17.0,12.0,13.19,femme,autres,rose/violet
très bon état,"polyester, viscose, nylon",bleu,sweats et sweats à capuche,6.0,3.0,3.56,femme,autres,bleu
neuf sans étiquette,polyester,crème,jupes,7.0,5.0,5.95,femme,fibre synthétique,blanc/beige
neuf sans étiquette,Non précisée,marron,chaussures,48.0,15.0,16.4,femme,autres,marron
très bon état,coton,"noir, blanc",pantalons et leggings,217.0,10.0,11.2,femme,fibre naturelle végétale,noir/gris
très bon état,Non précisée,blanc,robes,74.0,15.0,16.45,femme,autres,blanc/beige
très bon état,polyester,"fuchsia, rose",sweats et sweats à capuche,8.0,9.0,10.15,femme,fibre synthétique,rose/violet
neuf sans étiquette,Non précisée,crème,accessoires,32.0,7.0,8.05,femme,autres,blanc/beige
très bon état,coton,bleu,jeans,16.0,3.0,3.85,femme,fibre naturelle végétale,bleu
très bon état,élasthanne,noir,hauts et t-shirts,7.0,5.0,5.95,femme,autres,noir/gris
neuf sans étiquette,Non précisée,"violet, marron",accessoires,33.0,7.0,7.84,femme,autres,rose/violet
neuf sans étiquette,viscose,gris,hauts et t-shirts,19.0,3.0,3.85,femme,fibre artificielle,noir/gris
très bon état,coton,blanc,hauts et t-shirts,5.0,5.0,5.7,femme,fibre naturelle végétale,blanc/beige
très bon état,coton,noir,autres,54.0,12.0,13.19,femme,fibre naturelle végétale,noir/gris
très bon état,coton,blanc,jeans,9.0,16.0,17.46,femme,fibre naturelle végétale,blanc/beige
neuf sans étiquette,coton,"blanc, bleu clair",hauts et t-shirts,25.0,5.0,5.95,femme,fibre naturelle végétale,blanc/beige
neuf sans étiquette,Non précisée,noir,shorts,9.0,3.0,3.85,femme,autres,noir/gris
neuf sans étiquette,coton,blanc,hauts et t-shirts,11.0,4.0,4.9,femme,fibre naturelle végétale,blanc/beige
très bon état,coton,bleu,robes,24.0,15.0,16.38,femme,fibre naturelle végétale,bleu
très bon état,coton,noir,sweats et sweats à capuche,8.0,5.0,5.95,femme,fibre naturelle végétale,noir/gris
bon état,coton,vert,vêtements de sport,11.0,4.0,4.9,femme,fibre naturelle végétale,vert
très bon état,polyester,noir,blazers et tailleurs,8.0,10.0,11.2,femme,fibre synthétique,noir/gris
neuf sans étiquette,polyester,kaki,blazers et tailleurs,25.0,8.0,9.1,femme,fibre synthétique,vert
très bon état,Non précisée,blanc,hauts et t-shirts,24.0,5.0,5.95,femme,autres,blanc/beige
très bon état,Non précisée,vert,hauts et t-shirts,19.0,5.0,5.95,femme,autres,vert
très bon état,"coton, polyester",gris,sweats et sweats à capuche,8.0,6.0,7.0,femme,autres,noir/gris
très bon état,"élasthanne, jute","marron, beige",accessoires,17.0,7.0,8.05,femme,autres,marron
très bon état,Non précisée,beige,chaussures,106.0,30.0,32.2,femme,autres,blanc/beige
très bon état,coton,"bleu clair, bleu",jeans,15.0,7.0,7.84,femme,fibre naturelle végétale,bleu
très bon état,polyester,vert foncé,hauts et t-shirts,38.0,5.0,5.95,femme,fibre synthétique,vert
très bon état,polyester,noir,hauts et t-shirts,37.0,5.0,5.53,femme,fibre synthétique,noir/gris
bon état,polyester,beige,manteaux et vestes,41.0,10.0,11.2,femme,fibre synthétique,blanc/beige
très bon état,"polyester, viscose","vert, crème",blazers et tailleurs,17.0,20.0,21.7,femme,autres,vert
très bon état,coton,bleu clair,shorts,15.0,7.0,8.05,femme,fibre naturelle végétale,bleu
très bon état,coton,bleu clair,jeans,15.0,5.0,5.95,femme,fibre naturelle végétale,bleu
très bon état,"viscose, nylon",bleu clair,hauts et t-shirts,16.0,5.0,5.95,femme,autres,bleu
très bon état,"coton, polyester",gris,pantalons et leggings,32.0,5.0,5.95,femme,autres,noir/gris
neuf sans étiquette,Non précisée,gris,combinaisons et combishorts,21.0,7.0,7.7,femme,autres,noir/gris
bon état,"coton, polyester",beige,hauts et t-shirts,13.0,3.0,3.56,femme,autres,blanc/beige
très bon état,coton,"marine, bleu",manteaux et vestes,16.0,8.0,8.91,femme,fibre naturelle végétale,bleu
neuf sans étiquette,coton,"vert, blanc",robes,21.0,10.0,11.2,femme,fibre naturelle végétale,vert
neuf sans étiquette,Non précisée,"bleu clair, blanc",hauts et t-shirts,10.0,15.0,16.38,femme,autres,bleu
très bon état,"polyester, élasthanne",rose,hauts et t-shirts,6.0,3.0,3.85,femme,autres,rose/violet
très bon état,coton,"bleu clair, bleu",jeans,10.0,6.0,6.77,femme,fibre naturelle végétale,bleu
très bon état,"coton, élasthanne",bleu,jeans,8.0,6.0,7.0,femme,autres,bleu
très bon état,"polyester, viscose, élasthanne",noir,blazers et tailleurs,12.0,10.0,11.2,femme,autres,noir/gris
très bon état,coton,"bleu, bleu clair",jeans,24.0,6.0,7.0,femme,fibre naturelle végétale,bleu
très bon état,"coton, élasthanne",bleu,jeans,5.0,12.0,13.3,femme,autres,bleu
très bon état,coton,blanc,jeans,8.0,4.0,4.44,femme,fibre naturelle végétale,blanc/beige
très bon état,coton,gris,jeans,12.0,10.0,11.05,femme,fibre naturelle végétale,noir/gris
très bon état,coton,bleu clair,jeans,12.0,5.0,5.95,femme,fibre naturelle végétale,bleu
neuf sans étiquette,Non précisée,marine,hauts et t-shirts,27.0,10.0,11.2,femme,autres,bleu
neuf avec étiquette,"coton, polyester, élasthanne",blanc,shorts,19.0,6.5,7.53,femme,autres,blanc/beige
très bon état,coton,rouge,hauts et t-shirts,32.0,3.0,3.85,femme,fibre naturelle végétale,rouge
très bon état,coton,rouge,robes,9.0,9.0,9.98,femme,fibre naturelle végétale,rouge
neuf avec étiquette,Non précisée,bleu clair,hauts et t-shirts,68.0,16.0,17.5,femme,autres,bleu
neuf sans étiquette,"cuir, cuir verni","noir, marron",chaussures,44.0,20.0,21.8,femme,autres,noir/gris
très bon état,"polyester, viscose",bleu clair,pantalons et leggings,11.0,7.0,8.05,femme,autres,bleu
neuf sans étiquette,coton,marron,sweats et sweats à capuche,34.0,15.0,16.4,femme,fibre naturelle végétale,marron
très bon état,"coton, élasthanne",noir,hauts et t-shirts,17.0,3.0,3.85,femme,autres,noir/gris
très bon état,lin,beige,pantalons et leggings,27.0,10.0,10.95,femme,fibre naturelle végétale,blanc/beige
neuf sans étiquette,Non précisée,"beige, moutarde",pantalons et leggings,39.0,5.0,5.53,femme,autres,blanc/beige
neuf sans étiquette,coton,blanc,hauts et t-shirts,45.0,3.0,3.36,homme,fibre naturelle végétale,blanc/beige
neuf sans étiquette,polyester,"blanc, noir",pantalons et leggings,2.0,3.0,3.36,homme,fibre synthétique,blanc/beige
neuf avec étiquette,"viscose, élasthanne",kaki,maillots de bain,7.0,10.0,11.2,homme,autres,vert
bon état,"coton, polyester",beige,hauts et t-shirts,13.0,3.0,3.85,homme,autres,blanc/beige
très bon état,coton,rose,hauts et t-shirts,3.0,8.0,8.78,homme,fibre naturelle végétale,rose/violet
très bon état,coton,bleu,jeans,28.0,8.0,8.78,homme,fibre naturelle végétale,bleu
neuf sans étiquette,"polyester, élasthanne",noir,pantalons et leggings,12.0,15.0,16.45,homme,autres,noir/gris
très bon état,"coton, polyester",blanc,vêtements de sport,26.0,11.0,12.04,homme,autres,blanc/beige
neuf sans étiquette,"coton, polyester",beige,pantalons et leggings,34.0,10.0,10.95,homme,autres,blanc/beige
neuf sans étiquette,Non précisée,"gris, argenté",sweats et sweats à capuche,13.0,10.0,11.2,homme,autres,noir/gris
très bon état,"polyester, élasthanne",beige,pantalons et leggings,50.0,10.0,11.05,homme,autres,blanc/beige
très bon état,coton,beige,jupes,30.0,8.0,8.91,homme,fibre naturelle végétale,blanc/beige
neuf sans étiquette,"coton, lin",crème,manteaux et vestes,14.0,10.0,10.95,homme,autres,blanc/beige
neuf sans étiquette,Non précisée,beige,costumes et tenues particulières,22.0,15.0,16.4,homme,autres,blanc/beige
très bon état,"polyester, élasthanne",rose,hauts et t-shirts,8.0,3.0,3.56,homme,autres,rose/violet
très bon état,"polyester, viscose",bleu clair,pantalons et leggings,27.0,6.0,7.0,homme,autres,bleu
neuf avec étiquette,"coton, polyester, élasthanne",blanc,shorts,23.0,6.5,7.53,homme,autres,blanc/beige
neuf sans étiquette,Non précisée,bleu clair,blazers et tailleurs,111.0,40.0,43.15,homme,autres,bleu
neuf avec étiquette,polyester,marron,accessoires,24.0,5.0,5.7,homme,fibre synthétique,marron
très bon état,"polyester, viscose, élasthanne",menthe,pantalons et leggings,7.0,7.0,7.7,homme,autres,vert
très bon état,coton,"bleu, blanc",hauts et t-shirts,18.0,6.0,7.0,homme,fibre naturelle végétale,bleu
très bon état,"polyester, viscose, élasthanne",noir,blazers et tailleurs,84.0,15.0,16.45,homme,autres,noir/gris
très bon état,"polyester, viscose, élasthanne","beige, crème",pantalons et leggings,8.0,15.0,16.45,homme,autres,blanc/beige
très bon état,polyester,noir,hauts et t-shirts,26.0,15.0,16.4,homme,fibre synthétique,noir/gris
très bon état,coton,blanc,hauts et t-shirts,14.0,4.0,4.9,homme,fibre naturelle végétale,blanc/beige
très bon état,"coton, élasthanne",blanc,hauts et t-shirts,12.0,5.0,5.95,homme,autres,blanc/beige
très bon état,"polyester, viscose, élasthanne",noir,jupes,38.0,5.0,5.53,homme,autres,noir/gris
très bon état,polyester,"fuchsia, rose",sweats et sweats à capuche,8.0,9.0,10.15,homme,fibre synthétique,rose/violet
neuf sans étiquette,coton,marron,manteaux et vestes,10.0,10.0,11.2,homme,fibre naturelle végétale,marron
très bon état,coton,noir,hauts et t-shirts,7.0,8.0,9.1,homme,fibre naturelle végétale,noir/gris
très bon état,"polyester, viscose, nylon",bleu,sweats et sweats à capuche,6.0,3.0,3.85,homme,autres,bleu
très bon état,coton,"bleu, bleu clair",sweats et sweats à capuche,37.0,4.0,4.44,homme,fibre naturelle végétale,bleu
très bon état,coton,bleu,robes,27.0,15.0,16.45,homme,fibre naturelle végétale,bleu
très bon état,coton,blanc,hauts et t-shirts,42.0,6.0,6.61,homme,fibre naturelle végétale,blanc/beige
neuf sans étiquette,Non précisée,marron,chaussures,49.0,15.0,16.45,homme,autres,marron
très bon état,élasthanne,noir,hauts et t-shirts,8.0,5.0,5.7,homme,autres,noir/gris
neuf sans étiquette,"coton, élasthanne",beige,hauts et t-shirts,20.0,10.0,10.95,homme,autres,blanc/beige
très bon état,"coton, polyester",gris,pantalons et leggings,33.0,5.0,5.7,homme,autres,noir/gris
très bon état,coton,"noir, blanc",pantalons et leggings,222.0,10.0,11.2,homme,fibre naturelle végétale,noir/gris
neuf sans étiquette,coton,bleu clair,combinaisons et combishorts,13.0,10.0,11.2,homme,fibre naturelle végétale,bleu
très bon état,coton,bleu,jeans,16.0,3.0,3.85,homme,fibre naturelle végétale,bleu
très bon état,"coton, viscose, élasthanne",gris,hauts et t-shirts,123.0,7.0,7.84,homme,autres,noir/gris
très bon état,polyester,noir,blazers et tailleurs,8.0,10.0,11.2,homme,fibre synthétique,noir/gris
très bon état,coton,noir,autres,54.0,12.0,13.3,homme,fibre naturelle végétale,noir/gris
très bon état,polyester,"rose, bleu clair",pantalons et leggings,14.0,6.0,6.61,homme,fibre synthétique,rose/violet
très bon état,Non précisée,"vert foncé, vert",pantalons et leggings,62.0,14.0,15.4,homme,autres,vert
très bon état,polyester,vert foncé,hauts et t-shirts,39.0,5.0,5.95,homme,fibre synthétique,vert
neuf sans étiquette,viscose,gris,hauts et t-shirts,20.0,3.0,3.85,homme,fibre artificielle,noir/gris
bon état,"coton, polyester, laine",noir,blazers et tailleurs,9.0,5.0,5.95,homme,autres,noir/gris
très bon état,coton,blanc,hauts et t-shirts,5.0,5.0,5.53,homme,fibre naturelle végétale,blanc/beige
neuf sans étiquette,"polyester, soie, élasthanne","violet, fuchsia",hauts et t-shirts,10.0,5.0,5.95,homme,autres,rose/violet
très bon état,polyester,noir,hauts et t-shirts,38.0,5.0,5.95,homme,fibre synthétique,noir/gris
neuf sans étiquette,polyester,crème,jupes,7.0,5.0,5.7,homme,fibre synthétique,blanc/beige
très bon état,"viscose, élasthanne, acrylique",kaki,hauts et t-shirts,37.0,4.0,4.63,homme,autres,vert
bon état,coton,bleu clair,jeans,9.0,6.0,7.0,homme,fibre naturelle végétale,bleu
très bon état,Non précisée,vert,hauts et t-shirts,19.0,5.0,5.95,homme,autres,vert
neuf sans étiquette,"viscose, lin, carton",bleu clair,blazers et tailleurs,12.0,15.0,16.38,homme,autres,bleu
très bon état,coton,beige,manteaux et vestes,29.0,10.0,11.2,homme,fibre naturelle végétale,blanc/beige
très bon état,Non précisée,noir,manteaux et vestes,24.0,10.0,11.2,homme,autres,noir/gris
très bon état,élasthanne,noir,pantalons et leggings,9.0,3.0,3.36,homme,autres,noir/gris
très bon état,coton,blanc,jeans,11.0,16.0,17.46,homme,fibre naturelle végétale,blanc/beige
très bon état,coton,rouge,hauts et t-shirts,33.0,3.0,3.85,homme,fibre naturelle végétale,rouge
neuf sans étiquette,coton,blanc,hauts et t-shirts,11.0,4.0,4.9,homme,fibre naturelle végétale,blanc/beige
très bon état,"coton, polyester",gris,sweats et sweats à capuche,9.0,6.0,7.0,homme,autres,noir/gris
très bon état,"polyester, viscose","vert, crème",blazers et tailleurs,21.0,20.0,21.7,homme,autres,vert
très bon état,coton,noir,sweats et sweats à capuche,9.0,5.0,5.7,homme,fibre naturelle végétale,noir/gris
neuf sans étiquette,coton,vert,hauts et t-shirts,7.0,2.0,2.8,homme,fibre naturelle végétale,vert
très bon état,Non précisée,beige,chaussures,108.0,30.0,32.65,homme,autres,blanc/beige
neuf sans étiquette,polyester,beige,hauts et t-shirts,9.0,6.0,7.0,homme,fibre synthétique,blanc/beige
très bon état,Non précisée,noir,hauts et t-shirts,19.0,5.0,5.95,homme,autres,noir/gris
neuf sans étiquette,polyester,"turquoise, orange",accessoires,11.0,6.0,6.61,homme,fibre synthétique,bleu
bon état,"coton, élasthanne",bleu,manteaux et vestes,33.0,5.0,5.95,homme,autres,bleu
très bon état,coton,bleu clair,jeans,15.0,5.0,5.95,homme,fibre naturelle végétale,bleu
bon état,polyester,marron,manteaux et vestes,22.0,15.0,16.4,homme,fibre synthétique,marron
très bon état,"viscose, nylon",bleu clair,hauts et t-shirts,16.0,5.0,5.95,homme,autres,bleu
très bon état,coton,"bleu clair, bleu",jeans,11.0,6.0,6.77,homme,fibre naturelle végétale,bleu
très bon état,Non précisée,blanc,hauts et t-shirts,24.0,5.0,5.95,homme,autres,blanc/beige
bon état,"polyester, viscose, élasthanne",vert foncé,pantalons et leggings,4.0,7.0,7.84,homme,autres,vert
neuf sans étiquette,"coton, polyester",noir,manteaux et vestes,4.0,10.0,11.2,homme,autres,noir/gris
très bon état,coton,"bleu, bleu clair",jeans,24.0,6.0,7.0,homme,fibre naturelle végétale,bleu
très bon état,"coton, élasthanne",noir,hauts et t-shirts,17.0,3.0,3.85,homme,autres,noir/gris
neuf sans étiquette,Non précisée,marine,hauts et t-shirts,29.0,10.0,11.2,homme,autres,bleu
très bon état,"polyester, viscose, élasthanne",noir,blazers et tailleurs,11.0,7.0,8.05,homme,autres,noir/gris
très bon état,"coton, élasthanne",bleu,jeans,9.0,6.0,6.61,homme,autres,bleu
très bon état,lin,beige,pantalons et leggings,28.0,10.0,11.2,homme,fibre naturelle végétale,blanc/beige
neuf sans étiquette,coton,"vert, blanc",robes,24.0,10.0,11.2,homme,fibre naturelle végétale,vert
très bon état,polyester,rouge,blazers et tailleurs,33.0,10.0,11.05,homme,fibre synthétique,rouge
très bon état,coton,bleu clair,hauts et t-shirts,9.0,5.0,5.95,homme,fibre naturelle végétale,bleu
très bon état,"polyester, élasthanne",multicolore,robes,38.0,8.0,9.1,homme,autres,motif/multicolore
très bon état,coton,noir,hauts et t-shirts,25.0,4.0,4.9,homme,fibre naturelle végétale,noir/gris
bon état,polyester,beige,manteaux et vestes,42.0,10.0,10.95,homme,fibre synthétique,blanc/beige
très bon état,polyester,blanc,hauts et t-shirts,21.0,5.0,5.95,homme,fibre synthétique,blanc/beige
neuf sans étiquette,"cuir, cuir verni","noir, marron",chaussures,46.0,20.0,21.8,homme,autres,noir/gris
très bon état,Non précisée,moutarde,combinaisons et combishorts,11.0,12.0,13.3,homme,autres,jaune/orange
neuf avec étiquette,"polyester, viscose",menthe,hauts et t-shirts,13.0,5.0,5.95,homme,autres,vert
