etat,matiere,couleur,categorie,likes,prix,prix_total,collection,type_matiere_principal,couleur_generique
bon état,Non précisée,noir,manteaux et vestes,44.0,5.0,5.53,homme,autres,noir/gris
très bon état,coton,moutarde,pantalons et leggings,2.0,5.2,6.16,fille,fibre naturelle végétale,jaune/orange
neuf sans étiquette,coton,bleu,jeans,5.0,8.0,8.91,fille,fibre naturelle végétale,bleu
neuf sans étiquette,polyester,noir,hauts et t-shirts,8.0,5.0,5.7,fille,fibre synthétique,noir/gris
neuf sans étiquette,polyester,"blanc, noir",pantalons et leggings,2.0,3.0,3.85,fille,fibre synthétique,blanc/beige
neuf sans étiquette,viscose,"multicolore, blanc",robes,34.0,24.0,26.14,fille,fibre artificielle,motif/multicolore
neuf avec étiquette,"viscose, élasthanne",kaki,maillots de bain,14.0,10.0,11.05,fille,autres,vert
neuf sans étiquette,polyester,rose,jupes,2.0,8.0,8.78,fille,fibre synthétique,rose/violet
très bon état,coton,rose,hauts et t-shirts,5.0,8.0,8.78,fille,fibre naturelle végétale,rose/violet
neuf sans étiquette,"polyester, élasthanne",noir,pantalons et leggings,13.0,15.0,16.38,fille,autres,noir/gris
très bon état,Non précisée,jaune,combinaisons et combishorts,21.0,58.0,61.6,fille,autres,jaune/orange
neuf sans étiquette,Non précisée,"gris, argenté",sweats et sweats à capuche,13.0,10.0,11.05,fille,autres,noir/gris
très bon état,coton,"bleu clair, bleu",jeans,8.0,8.0,8.78,fille,fibre naturelle végétale,bleu
très bon état,"polyester, viscose",bleu clair,blazers et tailleurs,133.0,49.0,52.15,fille,autres,bleu
neuf sans étiquette,coton,argenté,shorts,20.0,10.0,11.2,fille,fibre naturelle végétale,noir/gris
très bon état,coton,blanc,hauts et t-shirts,53.0,4.0,4.63,fille,fibre naturelle végétale,blanc/beige
très bon état,Non précisée,blanc,blazers et tailleurs,30.0,25.0,27.1,fille,autres,blanc/beige
très bon état,Non précisée,multicolore,robes,20.0,25.0,27.23,fille,autres,motif/multicolore
très bon état,lin,crème,robes,43.0,7.0,8.05,fille,fibre naturelle végétale,blanc/beige
très bon état,polyester,rose,hauts et t-shirts,4.0,18.0,19.6,fille,fibre synthétique,rose/violet
neuf sans étiquette,coton,bleu clair,jeans,53.0,5.0,5.7,fille,fibre naturelle végétale,bleu
très bon état,cuir,noir,chaussures,198.0,25.0,27.23,fille,autres,noir/gris
bon état,"polyester, élasthanne",noir,hauts et t-shirts,5.0,5.0,5.7,fille,autres,noir/gris
neuf sans étiquette,"coton, lin",crème,manteaux et vestes,14.0,10.0,11.2,fille,autres,blanc/beige
neuf avec étiquette,coton,"blanc, crème",jeans,92.0,18.0,19.6,fille,fibre naturelle végétale,blanc/beige
neuf avec étiquette,cuir,marron,chaussures,118.0,60.0,64.55,fille,autres,marron
neuf avec étiquette,Non précisée,marron,manteaux et vestes,65.0,45.0,48.5,fille,autres,marron
très bon état,"coton, polyester",gris,sweats et sweats à capuche,3.0,6.0,6.77,fille,autres,noir/gris
très bon état,laine,noir,blazers et tailleurs,7.0,14.0,15.4,fille,fibre naturelle animale,noir/gris
très bon état,polyester,"noir, beige",jupes,3.0,6.0,7.0,fille,fibre synthétique,noir/gris
neuf sans étiquette,Non précisée,beige,costumes et tenues particulières,22.0,15.0,16.38,fille,autres,blanc/beige
très bon état,coton,bleu,jupes,37.0,9.0,9.87,fille,fibre naturelle végétale,bleu
très bon état,polyester,noir,pantalons et leggings,17.0,10.0,10.95,fille,fibre synthétique,noir/gris
neuf avec étiquette,"polyester, élasthanne",gris,hauts et t-shirts,116.0,16.0,17.47,fille,autres,noir/gris
neuf sans étiquette,coton,"crème, jaune",jeans,9.0,18.0,19.6,fille,fibre naturelle végétale,blanc/beige
très bon état,lin,crème,hauts et t-shirts,13.0,12.0,13.3,fille,fibre naturelle végétale,blanc/beige
très bon état,coton,bleu clair,hauts et t-shirts,11.0,15.0,16.45,fille,fibre naturelle végétale,bleu
neuf sans étiquette,"polyester, viscose, élasthanne",kaki,pantalons et leggings,13.0,25.0,26.95,fille,autres,vert
très bon état,coton,bleu,jupes-shorts,104.0,18.0,19.6,fille,fibre naturelle végétale,bleu
neuf avec étiquette,polyester,crème,lingerie et pyjamas,30.0,15.0,16.38,fille,fibre synthétique,blanc/beige
bon état,Non précisée,kaki,manteaux et vestes,5.0,6.0,7.0,fille,autres,vert
très bon état,coton,noir,jupes,36.0,7.0,7.84,fille,fibre naturelle végétale,noir/gris
très bon état,Non précisée,"beige, crème",hauts et t-shirts,36.0,10.0,11.2,fille,autres,blanc/beige
très bon état,Non précisée,bleu clair,jeans,17.0,8.0,9.1,fille,autres,bleu
neuf avec étiquette,coton,"marine, blanc",accessoires,46.0,6.0,6.61,fille,fibre naturelle végétale,bleu
très bon état,polyester,beige,manteaux et vestes,9.0,5.0,5.95,fille,fibre synthétique,blanc/beige
neuf avec étiquette,"polyester, viscose",crème,pantalons et leggings,15.0,28.0,30.1,fille,autres,blanc/beige
neuf avec étiquette,coton,marine,manteaux et vestes,20.0,45.0,48.5,fille,fibre naturelle végétale,bleu
très bon état,cuir synthétique,bordeaux,chaussures,35.0,25.0,27.23,fille,autres,rouge
très bon état,Non précisée,crème,hauts et t-shirts,35.0,6.0,6.61,fille,autres,blanc/beige
neuf avec étiquette,lin,"rose, fuchsia",shorts,42.0,13.0,14.35,fille,fibre naturelle végétale,rose/violet
très bon état,coton,bleu,jeans,4.0,8.0,9.1,fille,fibre naturelle végétale,bleu
très bon état,"polyester, viscose, élasthanne",noir,jupes,38.0,5.0,5.95,fille,autres,noir/gris
très bon état,coton,vert foncé,robes,5.0,8.0,9.1,fille,fibre naturelle végétale,vert
neuf sans étiquette,"coton, polyester",beige,pantalons et leggings,36.0,10.0,11.2,fille,autres,blanc/beige
neuf sans étiquette,polyester,rouge,robes,95.0,45.0,47.95,fille,fibre synthétique,rouge
très bon état,"coton, lin, dentelle",crème,hauts et t-shirts,139.0,17.0,18.55,fille,autres,blanc/beige
neuf avec étiquette,Non précisée,"lila, bleu clair",robes,156.0,60.0,63.7,fille,autres,autres
très bon état,"cuir, cuir synthétique","kaki, vert",manteaux et vestes,49.0,35.0,38.08,fille,autres,vert
neuf sans étiquette,coton,crème,sacs,17.0,8.0,8.78,fille,fibre naturelle végétale,blanc/beige
neuf avec étiquette,"polyester, élasthanne","noir, marron",robes,22.0,20.0,21.7,fille,autres,noir/gris
neuf avec étiquette,cuir,"marron, bordeaux",chaussures,42.0,35.0,37.45,fille,autres,marron
très bon état,Non précisée,noir,chaussures,3.0,20.0,21.7,fille,autres,noir/gris
neuf avec étiquette,Non précisée,noir,manteaux et vestes,4.0,35.0,37.45,fille,autres,noir/gris
neuf sans étiquette,cuir,orange,chaussures,54.0,13.0,14.35,fille,autres,jaune/orange
neuf avec étiquette,"viscose, lin","blanc, bleu",robes,50.0,20.0,21.7,fille,autres,blanc/beige
très bon état,coton,"bleu, crème",manteaux et vestes,41.0,24.0,26.03,fille,fibre naturelle végétale,bleu
très bon état,coton,gris,hauts et t-shirts,53.0,6.0,7.0,fille,fibre naturelle végétale,noir/gris
très bon état,"coton, polyester",blanc,vêtements de sport,27.0,11.0,12.25,fille,autres,blanc/beige
très bon état,coton,multicolore,sweats et sweats à capuche,0.0,20.0,21.7,fille,fibre naturelle végétale,motif/multicolore
neuf sans étiquette,Non précisée,"crème, beige",pantalons et leggings,9.0,2.0,2.8,fille,autres,blanc/beige
très bon état,coton,"bleu, bleu clair",sweats et sweats à capuche,37.0,4.0,4.9,fille,fibre naturelle végétale,bleu
très bon état,coton,"beige, marron",pantalons et leggings,106.0,30.0,32.2,fille,fibre naturelle végétale,blanc/beige
très bon état,Non précisée,bleu clair,jeans,5.0,10.0,11.2,fille,autres,bleu
très bon état,"polyester, viscose, élasthanne",menthe,pantalons et leggings,8.0,7.0,8.05,fille,autres,vert
neuf avec étiquette,coton,blanc,hauts et t-shirts,62.0,25.0,27.23,fille,fibre naturelle végétale,blanc/beige
très bon état,viscose,"fuchsia, jaune",robes,57.0,20.0,21.7,fille,fibre artificielle,rose/violet
neuf avec étiquette,"cuir, daim","beige, abricot",chaussures,13.0,79.99,84.69,fille,autres,blanc/beige
neuf avec étiquette,"coton, polyester",multicolore,autres,8.0,40.0,42.7,fille,autres,motif/multicolore
très bon état,coton,kaki,manteaux et vestes,77.0,54.0,58.69,fille,fibre naturelle végétale,vert
très bon état,Non précisée,marron,manteaux et vestes,27.0,30.0,32.45,fille,autres,marron
neuf sans étiquette,"polyester, viscose",abricot,blazers et tailleurs,52.0,20.0,21.7,fille,autres,jaune/orange
neuf sans étiquette,Non précisée,"bleu clair, blanc",robes,41.0,27.0,29.05,fille,autres,bleu
très bon état,"polyester, viscose",bleu clair,pantalons et leggings,27.0,6.0,6.77,fille,autres,bleu
très bon état,daim,marron,blazers et tailleurs,20.0,100.0,107.35,fille,autres,marron
très bon état,coton,multicolore,robes,12.0,25.0,26.95,fille,fibre naturelle végétale,motif/multicolore
neuf sans étiquette,viscose,"multicolore, rose",robes,22.0,24.0,26.03,fille,fibre artificielle,motif/multicolore
très bon état,cuir synthétique,noir,manteaux et vestes,17.0,24.0,26.03,fille,autres,noir/gris
neuf avec étiquette,lin,rouge,robes,40.0,17.0,18.55,fille,fibre naturelle végétale,rouge
neuf avec étiquette,"viscose, lin",beige,pantalons et leggings,14.0,28.0,30.1,fille,autres,blanc/beige
très bon état,"polyester, viscose, nylon",bleu,sweats et sweats à capuche,6.0,3.0,3.36,fille,autres,bleu
très bon état,Non précisée,kaki,robes,53.0,11.0,12.25,fille,autres,vert
très bon état,polyester,"rose, bleu clair",pantalons et leggings,14.0,6.0,7.0,fille,fibre synthétique,rose/violet
neuf avec étiquette,polyester,"bleu clair, crème",robes,7.0,18.0,19.61,fille,fibre synthétique,bleu
neuf sans étiquette,"coton, denim",kaki,manteaux et vestes,97.0,70.0,76.05,fille,autres,vert
très bon état,"polyester, élasthanne",rose,hauts et t-shirts,8.0,3.0,3.85,fille,autres,rose/violet
neuf sans étiquette,Non précisée,marron,chaussures,50.0,15.0,16.45,fille,autres,marron
neuf sans étiquette,coton,bleu,jeans,7.0,8.0,8.78,garcon,fibre naturelle végétale,bleu
neuf sans étiquette,polyester,noir,hauts et t-shirts,8.0,5.0,5.95,garcon,fibre synthétique,noir/gris
très bon état,Non précisée,jaune,combinaisons et combishorts,21.0,58.0,61.6,garcon,autres,jaune/orange
neuf sans étiquette,coton,argenté,shorts,20.0,10.0,11.2,garcon,fibre naturelle végétale,noir/gris
neuf sans étiquette,polyester,"blanc, noir",pantalons et leggings,2.0,3.0,3.85,garcon,fibre synthétique,blanc/beige
neuf avec étiquette,coton,blanc,vêtements de sport,7.0,18.0,19.63,garcon,fibre naturelle végétale,blanc/beige
neuf sans étiquette,coton,bleu clair,jeans,53.0,5.0,5.95,garcon,fibre naturelle végétale,bleu
très bon état,cuir,noir,chaussures,198.0,25.0,27.1,garcon,autres,noir/gris
bon état,Non précisée,noir,manteaux et vestes,5.0,10.0,11.2,garcon,autres,noir/gris
neuf sans étiquette,Non précisée,beige,costumes et tenues particulières,22.0,15.0,16.38,garcon,autres,blanc/beige
très bon état,lin,crème,robes,43.0,7.0,8.05,garcon,fibre naturelle végétale,blanc/beige
neuf sans étiquette,coton,bleu clair,jeans,2.0,19.0,20.65,garcon,fibre naturelle végétale,bleu
neuf avec étiquette,coton,"blanc, crème",jeans,92.0,18.0,19.6,garcon,fibre naturelle végétale,blanc/beige
neuf avec étiquette,Non précisée,marron,manteaux et vestes,66.0,45.0,48.5,garcon,autres,marron
neuf sans étiquette,"polyester, viscose",abricot,blazers et tailleurs,52.0,20.0,21.7,garcon,autres,jaune/orange
très bon état,coton,rose,hauts et t-shirts,12.0,4.99,5.51,garcon,fibre naturelle végétale,rose/violet
bon état,"polyester, élasthanne",noir,hauts et t-shirts,5.0,5.0,5.95,garcon,autres,noir/gris
très bon état,coton,bleu,jupes,37.0,9.0,9.98,garcon,fibre naturelle végétale,bleu
très bon état,lin,"noir, blanc",hauts et t-shirts,3.0,10.0,11.05,garcon,fibre naturelle végétale,noir/gris
très bon état,cuir synthétique,bordeaux,chaussures,35.0,25.0,27.23,garcon,autres,rouge
neuf avec étiquette,polyester,gris,manteaux et vestes,77.0,32.0,34.3,garcon,fibre synthétique,noir/gris
très bon état,coton,rose,hauts et t-shirts,10.0,8.0,8.78,garcon,fibre naturelle végétale,rose/violet
très bon état,"coton, polyester",gris,sweats et sweats à capuche,3.0,6.0,7.0,garcon,autres,noir/gris
neuf sans étiquette,polyester,kaki,hauts et t-shirts,8.0,4.0,4.9,garcon,fibre synthétique,vert
très bon état,polyester,"noir, beige",jupes,3.0,6.0,7.0,garcon,fibre synthétique,noir/gris
neuf sans étiquette,Non précisée,"gris, argenté",sweats et sweats à capuche,17.0,10.0,11.2,garcon,autres,noir/gris
neuf avec étiquette,"polyester, élasthanne",gris,hauts et t-shirts,117.0,16.0,17.5,garcon,autres,noir/gris
neuf sans étiquette,"coton, lin",crème,manteaux et vestes,14.0,10.0,11.05,garcon,autres,blanc/beige
neuf avec étiquette,coton,marine,manteaux et vestes,20.0,45.0,48.5,garcon,fibre naturelle végétale,bleu
très bon état,"polyester, viscose, élasthanne",noir,jupes,38.0,5.0,5.7,garcon,autres,noir/gris
neuf sans étiquette,"polyester, viscose",beige,sweats et sweats à capuche,10.0,5.0,5.53,garcon,autres,blanc/beige
très bon état,coton,"bleu, bleu clair",sweats et sweats à capuche,37.0,4.0,4.9,garcon,fibre naturelle végétale,bleu
neuf sans étiquette,"polyester, viscose, élasthanne",kaki,pantalons et leggings,14.0,25.0,26.95,garcon,autres,vert
très bon état,coton,bleu clair,hauts et t-shirts,11.0,15.0,16.45,garcon,fibre naturelle végétale,bleu
bon état,Non précisée,kaki,manteaux et vestes,5.0,6.0,7.0,garcon,autres,vert
neuf avec étiquette,cuir,marron,chaussures,118.0,60.0,64.55,garcon,autres,marron
très bon état,Non précisée,"vert, kaki",sweats et sweats à capuche,11.0,9.0,9.98,garcon,autres,vert
neuf sans étiquette,coton,bleu clair,combinaisons et combishorts,13.0,10.0,11.2,garcon,fibre naturelle végétale,bleu
très bon état,coton,"blanc, rose",shorts,4.0,5.0,5.7,garcon,fibre naturelle végétale,blanc/beige
neuf sans étiquette,Non précisée,"kaki, beige",pantalons et leggings,16.0,10.0,11.2,garcon,autres,vert
très bon état,"polyester, élasthanne",rose,hauts et t-shirts,8.0,3.0,3.85,garcon,autres,rose/violet
très bon état,Non précisée,crème,hauts et t-shirts,35.0,6.0,6.61,garcon,autres,blanc/beige
neuf avec étiquette,cuir,noir,chaussures,4.0,50.0,53.2,garcon,autres,noir/gris
très bon état,"coton, lin, dentelle",crème,hauts et t-shirts,139.0,17.0,18.55,garcon,autres,blanc/beige
très bon état,"polyester, viscose, élasthanne",menthe,pantalons et leggings,8.0,7.0,8.05,garcon,autres,vert
neuf avec étiquette,"polyester, élasthanne","noir, marron",robes,23.0,20.0,21.7,garcon,autres,noir/gris
très bon état,polyester,noir,pantalons et leggings,17.0,10.0,11.05,garcon,fibre synthétique,noir/gris
très bon état,"coton, élasthanne",bleu,jeans,9.0,6.0,7.0,garcon,autres,bleu
très bon état,"cuir, cuir synthétique","kaki, vert",manteaux et vestes,49.0,35.0,37.45,garcon,autres,vert
très bon état,"coton, polyester",blanc,vêtements de sport,29.0,11.0,12.04,garcon,autres,blanc/beige
très bon état,Non précisée,noir,chaussures,3.0,20.0,21.8,garcon,autres,noir/gris
neuf avec étiquette,cuir,"marron, bordeaux",chaussures,42.0,35.0,38.08,garcon,autres,marron
très bon état,polyester,"fuchsia, rose",sweats et sweats à capuche,9.0,9.0,10.15,garcon,fibre synthétique,rose/violet
très bon état,"polyester, viscose, nylon",bleu,sweats et sweats à capuche,6.0,3.0,3.56,garcon,autres,bleu
très bon état,"polyester, viscose",bleu clair,pantalons et leggings,27.0,6.0,6.77,garcon,autres,bleu
très bon état,coton,"bleu, crème",manteaux et vestes,41.0,24.0,25.9,garcon,fibre naturelle végétale,bleu
neuf avec étiquette,polyester,marron,accessoires,24.0,5.0,5.7,garcon,fibre synthétique,marron
neuf avec étiquette,Non précisée,"lila, bleu clair",robes,156.0,60.0,63.7,garcon,autres,autres
très bon état,Non précisée,orange,hauts et t-shirts,8.0,8.5,9.63,garcon,autres,jaune/orange
neuf sans étiquette,Non précisée,marron,chaussures,51.0,15.0,16.38,garcon,autres,marron
neuf avec étiquette,polyester,crème,lingerie et pyjamas,30.0,15.0,16.45,garcon,fibre synthétique,blanc/beige
neuf avec étiquette,polyester,"bleu clair, crème",robes,7.0,18.0,19.6,garcon,fibre synthétique,bleu
très bon état,lin,bordeaux,robes,28.0,26.0,28.0,garcon,fibre naturelle végétale,rouge
très bon état,coton,multicolore,sweats et sweats à capuche,0.0,20.0,21.8,garcon,fibre naturelle végétale,motif/multicolore
très bon état,lin,crème,hauts et t-shirts,13.0,12.0,13.12,garcon,fibre naturelle végétale,blanc/beige
neuf avec étiquette,lin,rouge,robes,41.0,17.0,18.55,garcon,fibre naturelle végétale,rouge
très bon état,coton,multicolore,robes,12.0,25.0,27.1,garcon,fibre naturelle végétale,motif/multicolore
neuf avec étiquette,Non précisée,noir,manteaux et vestes,4.0,35.0,37.45,garcon,autres,noir/gris
très bon état,polyester,"rose, bleu clair",pantalons et leggings,14.0,6.0,7.0,garcon,fibre synthétique,rose/violet
neuf avec étiquette,"cuir, daim","beige, abricot",chaussures,13.0,79.99,84.69,garcon,autres,blanc/beige
très bon état,coton,rouge,hauts et t-shirts,33.0,3.0,3.85,garcon,fibre naturelle végétale,rouge
très bon état,coton,bleu,jeans,16.0,3.0,3.56,garcon,fibre naturelle végétale,bleu
neuf avec étiquette,"cuir, daim","moutarde, marron",chaussures,54.0,30.0,32.2,garcon,autres,jaune/orange
très bon état,coton,noir,hauts et t-shirts,8.0,8.0,8.78,garcon,fibre naturelle végétale,noir/gris
neuf sans étiquette,cuir,doré,chaussures,10.0,15.0,16.38,garcon,autres,jaune/orange
neuf avec étiquette,"viscose, lin",beige,pantalons et leggings,14.0,28.0,30.1,garcon,autres,blanc/beige
très bon état,coton,vert foncé,robes,6.0,8.0,8.78,garcon,fibre naturelle végétale,vert
neuf avec étiquette,cuir,"noir, bleu",chaussures,31.0,175.0,184.45,garcon,autres,noir/gris
très bon état,cuir synthétique,noir,manteaux et vestes,18.0,24.0,26.03,garcon,autres,noir/gris
très bon état,Non précisée,marron,manteaux et vestes,27.0,30.0,32.2,garcon,autres,marron
très bon état,polyester,noir,hauts et t-shirts,51.0,15.0,16.38,garcon,fibre synthétique,noir/gris
neuf avec étiquette,"cuir, daim",beige,chaussures,37.0,39.0,41.65,garcon,autres,blanc/beige
très bon état,"coton, polyester, nylon",beige,manteaux et vestes,27.0,12.0,13.12,garcon,autres,blanc/beige
neuf sans étiquette,"coton, élasthanne",beige,hauts et t-shirts,21.0,10.0,11.2,garcon,autres,blanc/beige
très bon état,daim,marron,blazers et tailleurs,20.0,100.0,107.35,garcon,autres,marron
neuf sans étiquette,viscose,"multicolore, blanc",robes,34.0,24.0,25.9,garcon,fibre artificielle,motif/multicolore
très bon état,"polyester, viscose",bleu clair,pantalons et leggings,11.0,7.0,7.7,garcon,autres,bleu
bon état,"coton, polyester, laine",noir,blazers et tailleurs,9.0,5.0,5.7,garcon,autres,noir/gris
très bon état,cuir,noir,chaussures,41.0,18.0,19.61,garcon,autres,noir/gris
très bon état,coton,"bleu, blanc",hauts et t-shirts,19.0,6.0,7.0,garcon,fibre naturelle végétale,bleu
très bon état,coton,blanc,hauts et t-shirts,16.0,4.0,4.9,garcon,fibre naturelle végétale,blanc/beige
neuf sans étiquette,Non précisée,"blanc, crème",combinaisons et combishorts,12.0,50.0,53.2,garcon,autres,blanc/beige
très bon état,"polyester, élasthanne",beige,pantalons et leggings,53.0,10.0,10.95,garcon,autres,blanc/beige
neuf sans étiquette,coton,marron,sweats et sweats à capuche,41.0,15.0,16.45,garcon,fibre naturelle végétale,marron
neuf sans étiquette,"polyester, soie, élasthanne","violet, fuchsia",hauts et t-shirts,11.0,5.0,5.95,garcon,autres,rose/violet
très bon état,"coton, élasthanne",blanc,hauts et t-shirts,12.0,5.0,5.7,garcon,autres,blanc/beige
